Tweet,True danger tweet?,True non-danger tweet?
"#NEWSTODAY About 30 cars affected by flooding @ underground garage from water main break @ 600 blk New Hampshire Ave; @LAFD, DWP assisting",,
Waiting for Black Friday to shop? You might be too late http://abc7.la/1g4zBIq  Stores have already kicked off pre-Thanksgiving sales,,1
#BREAKINGNEWS Police activity reported at LAX. Possible traffic incident,,
"LAX projected to be busiest airport in U.S. on Thanksgiving: 2 million travelers, 6.8% increase from 2012 http://abc7.la/1i2V8FG ",,
Sketch released of man who may have attempted to kidnap teen girl in Corona del Mar Wednesday http://abc7.la/1cbGlS8 ,,
"Norwalk state hospital police officer, 41, gets 3 years in prison for molesting 14-year-old girl http://abc7.la/1bYUP9Z ",,
#BREAKINGNEWS Firefighters on scene of 3-story house fire @ 4400 block of Dundee Dr in Los Feliz; @LAFD reports possible explosion,,
L.A. Coliseum pays tribute to #JFK on 50th anniversary of assassination. @ABC7JohnGregory is there live in the 6am hour.,,1
Chance of snow prompts road closures in Angeles National Forest. Details: http://dpw.lacounty.gov/care/ ,,
210 FWY UPDATE: CHP says transition road from eastbound 210 Fwy to 134 Fwy in Pasadena has reopened http://abc7.la/19M7iZF ,,1
"People work out to stay in shape, but could your exercise routine cause you to lose your hearing? http://abc7.la/1jro7yx ",1,
A school bus hijacked by a knife-wielding man! Police in hot pursuit. And the children - still on board! At... https://vine.co/v/hFj2E3AZOgY ,1,
Looking for ways to save on your cellphone bill? See tips --> http://abc7.la/19N2G5q ,,1
"THIS JUST IN: Malibu High School reports caulk samples containing PCB levels above legal limit to EPA, agency says.",1,
"UPDATE: Transition from eastbound 210 Fwy to 134 Fwy interchange to remain closed until about 10:30pm, per CHP.",,
"UPDATE: Crash cleared, all northbound lanes of 405 Freeway at Ventura Boulevard re-opened.",,1
Recall issued for Angelcare baby monitors after 2 infants strangled by cord in cribs http://abc7.la/1i0na4R ,1,
"THIS JUST IN: Deadlocked jury; judge grants mistrial in case of Kent Easter, accused of planting drugs in school volunteer's car.",,1
"Rain causes power outages across Southland http://abc7.la/1aJxTKz  In city of LA alone, 11,100 customers without power",,
"SANTA ANA UPDATE: Ulises Mendoza, 20, arrested for gross vehicular manslaughter, DUI http://abc7.la/1fmYuS3  pic.twitter.com/hbupKxWaK4",,1
"Most of SoCal getting hit w/ rain, creating slick, dangerous morning commute. Watch team coverage of the wet weather on @ABC7 at 6am",,
#TRAFFICALERT Multiple lanes closed until further notice on EB 210 at Madre St due to fatal crash - @CHPsouthern,,
Authorities say 'knock-knock' burglaries are on the rise http://abc7.la/17P6Qdi  Installing security cameras is one way to protect your home,,
"Fake stabbings - a ""real"" crime? A prankster giving L.A. cops fits with his phony bid for fame! At 11p. https://vine.co/v/hFnQ3nQdY2d ",,
Fullerton Police confirm shots fired in jewelry robbery attempt. Suspect at large. Suspect vehicle info is preliminary.,,
Shooting just reported in Fullerton jewelry robbery at Orangefair Mall. Black Lincoln Navigator flees on southbound Harbor Blvd.,,
Pastor was shopping at Costco in Simi Valley when he discovered that Bibles were labeled as fiction http://abc7.la/1c4dFdG ,,1
Los Angeles city councilman wants to raise cat limit from 3 to 5 http://abc7.la/1jnRYYK  Hopes it'll increase adoptions at shelters,,1
City website will list relaxed-parking days when street-sweeping not performed on scheduled routes http://abc7.la/17qSbb9 ,,1
$50K reward offered in hit-and-run crash that killed county probation officer near Hazard Park http://abc7.la/18oKq6y ,,1
SWAT team on scene of barricaded suspect in La Mirada near Santa Gertrudes and Imperial Highway,,
18-year-old shot in knee in Oxnard http://abc7.la/HZKhvY  Suspect sought,,
THIS JUST IN: Billy Graham hospitalized w/ respiratory issue; spokesman says he's expected to return home in day or two - via @ABC,,1
Follow @ABC7 on Instagram! --> http://instagram.com/abc7la ,,1
"LAPD has released sketch of possible suspect in murder of Joseph Gatto, father of state Assemblyman Mike Gatto http://abc7.la/1c0h1hW ",,
UCLA football player arrested on suspicion of sexual assault after police respond to disturbance call http://abc7.la/IfqMiM ,,
Orange County Sheriff's Dept warns residents of phone scammers posing as law enforcement to steal money http://abc7.la/186E0uS ,1,
CORRECTION: Princeton U. allowing students to take unapproved-in-US meningitis vaccine http://abc7.la/1b6vqMN  Not UCSB,,
LAPD using zombies to warn residents about common crimes during holiday shopping season http://abc7.la/1b5NBlG ,,
Did you enter @TheQueenMary's Chill giveaway yet? http://woobox.com/s2go9c  It's SoCal's only frozen holiday adventure,,1
CARSON UPDATE: @LACoFDPIO says about 70 patients evaluated at scene after foul odor reported http://abc7.la/18Lesh7  12 taken to hospital,,
#BREAKINGNEWS Up to 48 patients treated for burning in noses/throats after foul odor reported on 20900 blk of S Maciel Ave in Carson,,
A life and death drama as an angry gunman storms a TV station. What happens next all caught on camera! At 11p. https://vine.co/v/htlur0MDeMb ,,
LAX dry-ice bomb suspect released on his own recognizance today http://abc7.la/1dcUGTb  Due back in court next month,,
"If this man doesn't come forward by 5pm, he's out $465,539. Bought Powerball ticket 6 months ago http://abc7.la/18KmuHb ",,1
"Dow Jones industrial average passes 16,000 for first time; S&P passes 1,800. Both back down by end of closing http://abc7.la/18KhoL7 ",,1
Flights departing LAX to Chicago are being affected by Midwest storms. Check airlines for flight status.,,
New Mexico state troopers shoot at woman in van with five kids during traffic stop http://abc7.la/1ebBqmg  Mom attempted to evade police,,
Scientists working on system that could warn you about quake 90 seconds before it hits. Learn more about this technology at 11pm on @ABC7,,1
"10 people hurt at USC-Stanford game. All patients transported to hospital w/ non-life threatening injuries, per @LAFD",,1
#BREAKINGNEWS: Ritter Elementary on shelter in place after about 17 children report upset stomachs. None are being transported to hospitals.,,
25-year-old man found stabbed at Corona apartment dies http://abc7.la/1ad92Q3 ,,
"Glendora power outage affects 1,463 customers. Some traffic signals out; residents advised to drive carefully. Crews on scene",,
"Get news, traffic and weather on the go with the FREE @ABC7 Mobile Apps http://abc7.com/apps ",,1
Doctors warn spicy snacks like Flamin' Hot Cheetos have harmful effects on kids http://abc7.la/1eSNpI9 ,1,
California insurance commissioner called on health insurers to extend deadline on individual policies through 2014 http://abc7.la/1eSIDu9 ,,1
"#BREAKINGNEWS Ventura Co. crews battling brush fire @ Wheeler Canyon Rd; fire was 2 acres, spot fire reported w/ rapid spread",1,
Water main break in area of Dyer and Halladay in Santa Ana; crews on scene pic.twitter.com/ReyAvQwXWJ,,
"CORRECTION: U.N. now says 4,460 figure for Philippines death toll was incorrect, @AP reports. Number referred to evacuation centers",,
"#BREAKINGNEWS U.N. says typhoon that ravaged Philippines has killed 4,460 people; some 920,000 people were displaced by storm",,1
"Man wanted for series of sexual assaults in San Fernando Valley was arrested, but has been released on bail http://abc7.la/HO02G1 ",,
What happens when the rescuer needs rescuing? A firefighter's frightening fall! At 11p. https://vine.co/v/hTEdmUq9gW5 ,,1
Recall issued for Step2 Whisper Ride Touring Wagons sold at Toys R Us. Seat-back detachment causes risk of fall http://abc7.la/1aqguq3 ,1,
THIS JUST IN: 4 Marines killed in Camp Pendleton accident handling unexploded ordnance at firing range.,,
"Recalls issued for Babycotton nightgowns, LL Bean girl's pajamas -- don't meet federal flammability standard http://abc7.la/1gL9Kbm ",1,
